,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
64,frozenset({'Bottle                        '}),frozenset({'Gummy                         '}),0.11653320460396789,0.0047563607451158564,0.0006673103134938665,0.005726353409413963,1.2039358905428186,0.00011303635361299919,1.0009755791754356
65,frozenset({'Gummy                         '}),frozenset({'Bottle                        '}),0.0047563607451158564,0.11653320460396789,0.0006673103134938665,0.14029850746268657,1.2039358905428186,0.00011303635361299919,1.0276436682558012
66,frozenset({'House Brand Cake              '}),frozenset({'Bottle                        '}),0.0026313796759048916,0.11653320460396789,0.00044487354232924426,0.16906474820143885,1.4507860551505187,0.0001382304361662968,1.0632197797406795
67,frozenset({'Bottle                        '}),frozenset({'House Brand Cake              '}),0.11653320460396789,0.0026313796759048916,0.00044487354232924426,0.0038175689396093082,1.4507860551505187,0.0001382304361662968,1.0011907349765663
68,frozenset({'Internation Sourcing Japan    '}),frozenset({'Bottle                        '}),0.006128842950174163,0.11653320460396789,0.0008566182038467363,0.13976833976833977,1.199386391572559,0.00014240449434850435,1.0270103231937717
69,frozenset({'Bottle                        '}),frozenset({'Internation Sourcing Japan    '}),0.11653320460396789,0.006128842950174163,0.0008566182038467363,0.007350850830524306,1.1993863915725589,0.00014240449434850435,1.001231057198178
70,frozenset({'International sourcing JAPAN  '}),frozenset({'Bottle                        '}),0.0017510979857640466,0.11653320460396789,0.00024136756019990912,0.13783783783783785,1.1828202811917226,3.7306500343271424e-05,1.0247107031239244
71,frozenset({'Bottle                        '}),frozenset({'International sourcing JAPAN  '}),0.11653320460396789,0.0017510979857640466,0.00024136756019990912,0.0020712342119156885,1.1828202811917226,3.7306500343271424e-05,1.0003208006794944
72,frozenset({'Japan                         '}),frozenset({'Bottle                        '}),0.004822618506739361,0.11653320460396789,0.0005773890655762532,0.11972522080471049,1.0273914736284007,1.539387640351307e-05,1.0036261588724156
73,frozenset({'Bottle                        '}),frozenset({'Japan                         '}),0.11653320460396789,0.004822618506739361,0.0005773890655762532,0.004954717134386549,1.0273914736284004,1.539387640351307e-05,1.0001327563980473
74,frozenset({'Bottle                        '}),frozenset({'LARGE>800ML                   '}),0.11653320460396789,0.0024515371800696655,0.0003502195971528093,0.0030053202290541365,1.2258921681818973,6.45341133535165e-05,1.000555452361202
75,frozenset({'LARGE>800ML                   '}),frozenset({'Bottle                        '}),0.0024515371800696655,0.11653320460396789,0.0003502195971528093,0.14285714285714285,1.2258921681818973,6.45341133535165e-05,1.0307112612953708
76,frozenset({'Large                         '}),frozenset({'Bottle                        '}),0.00728362108132667,0.11653320460396789,0.000956004846281993,0.13125406107862247,1.1263232786284618,0.0001072211405539784,1.016944949973443
77,frozenset({'Bottle                        '}),frozenset({'Large                         '}),0.11653320460396789,0.00728362108132667,0.000956004846281993,0.008203711976607237,1.1263232786284618,0.0001072211405539784,1.000927701491114
78,frozenset({'Bottle                        '}),frozenset({'MEAL SOLUTION & SPAGHETTI     '}),0.11653320460396789,0.0015807208844464636,0.00021770407390580039,0.0018681720342768955,1.1818481381873382,3.3497603656835545e-05,1.000287989163131
79,frozenset({'MEAL SOLUTION & SPAGHETTI     '}),frozenset({'Bottle                        '}),0.0015807208844464636,0.11653320460396789,0.00021770407390580039,0.1377245508982036,1.1818481381873382,3.3497603656835545e-05,1.0245760752162316
80,frozenset({'Potato                        '}),frozenset({'Bottle                        '}),0.01080474784189005,0.11653320460396789,0.0014907996365288506,0.13797634691195795,1.1840088615160245,0.00023168774557559687,1.0248753525859458
81,frozenset({'Bottle                        '}),frozenset({'Potato                        '}),0.11653320460396789,0.01080474784189005,0.0014907996365288506,0.012792917191243959,1.1840088615160242,0.00023168774557559687,1.002013933432991
82,frozenset({'Poultry & Others              '}),frozenset({'Bottle                        '}),0.0029532030895047705,0.11653320460396789,0.0003644176889292746,0.1233974358974359,1.0589036516827608,2.0271469062945098e-05,1.0078304941994956
83,frozenset({'Bottle                        '}),frozenset({'Poultry & Others              '}),0.11653320460396789,0.0029532030895047705,0.0003644176889292746,0.0031271575356374122,1.0589036516827606,2.0271469062945098e-05,1.0001745001355464
84,frozenset({'Premium super soft            '}),frozenset({'Bottle                        '}),0.0012021051037407239,0.11653320460396789,0.00022716946842344388,0.1889763779527559,1.6216526319256594,8.708430841375205e-05,1.0893231360708358
85,frozenset({'Bottle                        '}),frozenset({'Premium super soft            '}),0.11653320460396789,0.0012021051037407239,0.00022716946842344388,0.0019493969053324127,1.6216526319256594,8.708430841375205e-05,1.0007487514152835
86,frozenset({'Bottle                        '}),frozenset({'QB UFO Pocket                 '}),0.11653320460396789,0.005196501590186279,0.0006673103134938665,0.005726353409413963,1.1019631785023065,6.174533045984426e-05,1.0005329034125008
87,frozenset({'QB UFO Pocket                 '}),frozenset({'Bottle                        '}),0.005196501590186279,0.11653320460396789,0.0006673103134938665,0.1284153005464481,1.1019631785023067,6.174533045984426e-05,1.0136327495766388
88,frozenset({'Quick Breakfast Bun           '}),frozenset({'Bottle                        '}),0.0021155156746933213,0.11653320460396789,0.0002697637437528396,0.12751677852348992,1.0942527407261229,2.323592279090161e-05,1.0125888654923751
89,frozenset({'Bottle                        '}),frozenset({'Quick Breakfast Bun           '}),0.11653320460396789,0.0021155156746933213,0.0002697637437528396,0.00231490882508224,1.0942527407261229,2.323592279090161e-05,1.0001998557983403
90,frozenset({'SUSHI(General)                '}),frozenset({'Bottle                        '}),0.002513062244434348,0.11653320460396789,0.0003833484779645616,0.15254237288135594,1.3090035016179582,9.04932812513869e-05,1.0424908185673178
91,frozenset({'Bottle                        '}),frozenset({'SUSHI(General)                '}),0.11653320460396789,0.002513062244434348,0.0003833484779645616,0.003289607277748447,1.3090035016179582,9.04932812513869e-05,1.0007791079926367
92,frozenset({'Bottle                        '}),frozenset({'Stick                         '}),0.11653320460396789,0.0022338331061638648,0.00032182341359987884,0.002761645615887585,1.236281084861405,6.150768318816807e-05,1.0005292741774354
93,frozenset({'Stick                         '}),frozenset({'Bottle                        '}),0.0022338331061638648,0.11653320460396789,0.00032182341359987884,0.1440677966101695,1.236281084861405,6.150768318816807e-05,1.0321691272943743
94,frozenset({'With Filing                   '}),frozenset({'Bottle                        '}),0.0024278736937755566,0.11653320460396789,0.0003454868998939876,0.1423001949317739,1.2211128614833326,6.25589979846494e-05,1.0300419682685558
95,frozenset({'Bottle                        '}),frozenset({'With Filing                   '}),0.11653320460396789,0.0024278736937755566,0.0003454868998939876,0.002964707793526378,1.2211128614833324,6.25589979846494e-05,1.00053843038852
96,frozenset({'Cakes                         '}),frozenset({'Buns                          '}),0.009460661820384674,0.003090451310010601,0.00024136756019990912,0.025512756378189092,8.255349726930847,0.00021212984548353402,1.0230093366690394
97,frozenset({'Buns                          '}),frozenset({'Cakes                         '}),0.003090451310010601,0.009460661820384674,0.00024136756019990912,0.0781010719754977,8.255349726930847,0.00021212984548353402,1.074455461513769
98,frozenset({'Buns                          '}),frozenset({'Can                           '}),0.003090451310010601,0.028699076177495078,0.0003076253218234136,0.0995405819295559,3.4684246041206204,0.00021893222425457988,1.0786726245851967
99,frozenset({'Can                           '}),frozenset({'Buns                          '}),0.028699076177495078,0.003090451310010601,0.0003076253218234136,0.010718997361477571,3.4684246041206204,0.00021893222425457988,1.0077112024097508
100,frozenset({'Buns                          '}),frozenset({'Tetra Pack                    '}),0.003090451310010601,0.02496971073754354,0.0002650310464940179,0.08575803981623278,3.4344827105782265,0.00018786337123459068,1.0664904168984657
101,frozenset({'Tetra Pack                    '}),frozenset({'Buns                          '}),0.02496971073754354,0.003090451310010601,0.0002650310464940179,0.01061410159211524,3.434482710578226,0.00018786337123459068,1.0076043637717211
102,frozenset({'Cakes                         '}),frozenset({'Can                           '}),0.009460661820384674,0.028699076177495078,0.0003928138724822051,0.0415207603801901,1.4467629593160698,0.00012130161820946608,1.0133771120674255
